track_id,reason,start_ts,end_ts,duration_sec,start_hhmmss,end_hhmmss
1,EYES_MOVING,1762608607.196,1762608607.723,0.527,00:00:04.366,00:00:04.893
1,EYES_MOVING,1762608609.788,1762608610.190,0.402,00:00:06.958,00:00:07.360
1,EYES_OFF,1762608610.587,1762608610.715,0.128,00:00:07.758,00:00:07.886
1,EYES_MOVING,1762608612.172,1762608612.448,0.275,00:00:09.343,00:00:09.618
1,EYES_OFF,1762608612.448,1762608613.467,1.019,00:00:09.618,00:00:10.638
1,EYES_MOVING,1762608613.903,1762608614.303,0.399,00:00:11.074,00:00:11.473
1,EYES_MOVING,1762608620.332,1762608620.460,0.128,00:00:17.503,00:00:17.631
1,EYES_MOVING,1762608625.307,1762608625.453,0.146,00:00:22.478,00:00:22.623
1,EYES_MOVING,1762608630.547,1762608630.803,0.256,00:00:27.718,00:00:27.973
1,EYES_MOVING,1762608633.903,1762608634.157,0.254,00:00:31.073,00:00:31.328
1,EYES_OFF,1762608634.157,1762608634.726,0.569,00:00:31.328,00:00:31.897
1,EYES_MOVING,1762608635.884,1762608636.029,0.145,00:00:33.055,00:00:33.200
1,EYES_OFF,1762608636.958,1762608637.357,0.400,00:00:34.128,00:00:34.528
1,EYES_MOVING,1762608638.285,1762608638.818,0.534,00:00:35.455,00:00:35.989
1,EYES_MOVING,1762608645.697,1762608646.092,0.396,00:00:42.867,00:00:43.263
1,EYES_OFF,1762608646.092,1762608646.639,0.546,00:00:43.263,00:00:43.809
1,EYES_MOVING,1762608647.039,1762608647.997,0.958,00:00:44.209,00:00:45.167
1,EYES_OFF,1762608648.270,1762608648.524,0.254,00:00:45.441,00:00:45.695
1,EYES_MOVING,1762608650.862,1762608651.395,0.533,00:00:48.033,00:00:48.566
1,EYES_OFF,1762608655.281,1762608655.435,0.154,00:00:52.452,00:00:52.606
1,EYES_MOVING,1762608655.839,1762608656.412,0.573,00:00:53.010,00:00:53.582
1,EYES_OFF,1762608656.412,1762608656.672,0.260,00:00:53.582,00:00:53.842
1,EYES_MOVING,1762608657.870,1762608658.140,0.269,00:00:55.041,00:00:55.310
1,EYES_OFF,1762608658.140,1762608660.367,2.227,00:00:55.310,00:00:57.538
1,EYES_MOVING,1762608661.169,1762608661.570,0.401,00:00:58.340,00:00:58.741
1,EYES_MOVING,1762608662.929,1762608663.358,0.428,00:01:00.100,00:01:00.528
1,EYES_OFF,1762608663.358,1762608663.943,0.585,00:01:00.528,00:01:01.114
1,EYES_MOVING,1762608664.398,1762608665.245,0.847,00:01:01.569,00:01:02.416
1,EYES_OFF,1762608665.245,1762608665.388,0.143,00:01:02.416,00:01:02.559
1,EYES_MOVING,1762608665.388,1762608665.950,0.562,00:01:02.559,00:01:03.121
