track_id,reason,start_ts,end_ts,duration_sec,start_hhmmss,end_hhmmss
1,EYES_MOVING,1763347184.887,1763347186.563,1.676,00:00:03.944,00:00:05.620
1,EYES_MOVING,1763347187.352,1763347191.878,4.526,00:00:06.409,00:00:10.935
1,EYES_MOVING,1763347193.169,1763347194.998,1.829,00:00:12.227,00:00:14.055
1,EYES_MOVING,1763347196.014,1763347197.048,1.034,00:00:15.071,00:00:16.105
1,EYES_MOVING,1763347198.093,1763347198.342,0.249,00:00:17.151,00:00:17.399
1,EYES_MOVING,1763347199.126,1763347199.260,0.134,00:00:18.183,00:00:18.317
1,EYES_MOVING,1763347202.210,1763347209.708,7.498,00:00:21.268,00:00:28.766
1,EYES_MOVING,1763347210.487,1763347213.719,3.232,00:00:29.544,00:00:32.776
1,EYES_MOVING,1763347214.484,1763347215.259,0.775,00:00:33.541,00:00:34.316
1,EYES_MOVING,1763347216.024,1763347216.148,0.124,00:00:35.081,00:00:35.206
1,EYES_MOVING,1763347216.912,1763347218.978,2.067,00:00:35.969,00:00:38.036
