track_id,reason,start_ts,end_ts,duration_sec,start_hhmmss,end_hhmmss
1,EYES_MOVING,1762340109.516,1762340110.156,0.641,00:00:04.365,00:00:05.006
1,EYES_OFF,1762340110.156,1762340110.583,0.426,00:00:05.006,00:00:05.432
1,EYES_MOVING,1762340111.239,1762340112.282,1.042,00:00:06.089,00:00:07.132
1,EYES_OFF,1762340113.240,1762340113.513,0.273,00:00:08.090,00:00:08.363
1,EYES_MOVING,1762340114.438,1762340114.567,0.129,00:00:09.288,00:00:09.416
1,EYES_OFF,1762340114.567,1762340116.039,1.472,00:00:09.416,00:00:10.888
1,EYES_MOVING,1762340118.328,1762340118.456,0.128,00:00:13.178,00:00:13.306
1,EYES_MOVING,1762340119.288,1762340119.560,0.272,00:00:14.138,00:00:14.410
1,EYES_OFF,1762340119.560,1762340120.489,0.929,00:00:14.410,00:00:15.339
1,EYES_MOVING,1762340120.489,1762340121.559,1.070,00:00:15.339,00:00:16.409
1,EYES_OFF,1762340121.559,1762340121.688,0.129,00:00:16.409,00:00:16.538
1,EYES_MOVING,1762340122.744,1762340123.817,1.073,00:00:17.594,00:00:18.667
1,EYES_MOVING,1762340130.074,1762340130.329,0.255,00:00:24.924,00:00:25.179
1,EYES_OFF,1762340130.329,1762340130.731,0.402,00:00:25.179,00:00:25.581
1,EYES_OFF,1762340132.331,1762340135.021,2.690,00:00:27.181,00:00:29.871
1,EYES_MOVING,1762340135.820,1762340136.090,0.270,00:00:30.670,00:00:30.940
1,EYES_OFF,1762340136.090,1762340137.450,1.360,00:00:30.940,00:00:32.300
1,EYES_MOVING,1762340138.252,1762340138.921,0.669,00:00:33.102,00:00:33.771
1,EYES_MOVING,1762340141.275,1762340141.406,0.132,00:00:36.124,00:00:36.256
1,EYES_OFF,1762340141.406,1762340142.475,1.069,00:00:36.256,00:00:37.325
1,EYES_MOVING,1762340143.275,1762340143.403,0.127,00:00:38.125,00:00:38.253
1,EYES_OFF,1762340143.403,1762340144.075,0.673,00:00:38.253,00:00:38.925
1,HEAD_POSE_OFF,1762340155.048,1762340155.642,0.593,00:00:49.898,00:00:50.492
1,HEAD_POSE_OFF,1762340157.271,1762340158.473,1.203,00:00:52.120,00:00:53.323
