track_id,reason,start_ts,end_ts,duration_sec,start_hhmmss,end_hhmmss
1,EYES_MOVING,1762334020.210,1762334020.353,0.143,00:00:04.350,00:00:04.493
1,EYES_MOVING,1762334021.313,1762334021.712,0.398,00:00:05.454,00:00:05.852
1,EYES_OFF,1762334022.241,1762334023.311,1.070,00:00:06.382,00:00:07.452
1,EYES_MOVING,1762334023.311,1762334024.802,1.490,00:00:07.452,00:00:08.942
1,EYES_MOVING,1762334026.129,1762334026.272,0.143,00:00:10.269,00:00:10.412
1,EYES_MOVING,1762334029.154,1762334029.826,0.673,00:00:13.294,00:00:13.967
1,EYES_OFF,1762334034.516,1762334035.046,0.530,00:00:18.656,00:00:19.186
1,EYES_OFF,1762334036.515,1762334036.770,0.256,00:00:20.655,00:00:20.911
1,EYES_MOVING,1762334037.315,1762334037.570,0.255,00:00:21.455,00:00:21.710
1,EYES_OFF,1762334037.842,1762334038.101,0.258,00:00:21.983,00:00:22.241
1,EYES_MOVING,1762334040.006,1762334040.276,0.271,00:00:24.146,00:00:24.417
1,EYES_OFF,1762334040.276,1762334040.406,0.130,00:00:24.417,00:00:24.546
1,EYES_MOVING,1762334043.092,1762334043.491,0.399,00:00:27.233,00:00:27.632
1,EYES_OFF,1762334048.052,1762334048.709,0.657,00:00:32.192,00:00:32.849
1,EYES_OFF,1762334050.310,1762334050.451,0.141,00:00:34.450,00:00:34.591
