track_id,reason,start_ts,end_ts,duration_sec,start_hhmmss,end_hhmmss
1,HEAD_POSE_OFF,1762608006.039,1762608009.746,3.707,00:00:04.920,00:00:08.627
1,HEAD_POSE_OFF,1762608018.564,1762608020.289,1.725,00:00:17.445,00:00:19.170
1,HEAD_POSE_OFF,1762608025.474,1762608026.018,0.544,00:00:24.354,00:00:24.898
1,HEAD_POSE_OFF,1762608031.267,1762608037.282,6.015,00:00:30.148,00:00:36.163
1,HEAD_POSE_OFF,1762608039.936,1762608040.614,0.678,00:00:38.816,00:00:39.495
4,MULTIPLE_FACES,1762608042.892,1762608044.233,1.342,00:00:41.772,00:00:43.114
