track_id,reason,start_ts,end_ts,duration_sec,start_hhmmss,end_hhmmss
1,HEAD_POSE_OFF,1762333854.729,1762333856.985,2.256,00:00:26.088,00:00:28.344
1,HEAD_POSE_OFF,1762333874.745,1762333876.266,1.522,00:00:46.104,00:00:47.625
1,EYES_MOVING,1762333878.137,1762333878.535,0.398,00:00:49.496,00:00:49.894
1,EYES_OFF,1762333878.665,1762333879.337,0.672,00:00:50.024,00:00:50.696
1,EYES_MOVING,1762333879.869,1762333880.268,0.399,00:00:51.228,00:00:51.627
1,EYES_MOVING,1762333881.466,1762333882.023,0.558,00:00:52.824,00:00:53.382
1,EYES_OFF,1762333882.023,1762333882.153,0.130,00:00:53.382,00:00:53.512
1,EYES_MOVING,1762333882.153,1762333882.705,0.552,00:00:53.512,00:00:54.064
1,EYES_MOVING,1762333883.514,1762333884.313,0.799,00:00:54.873,00:00:55.672
1,EYES_MOVING,1762333885.113,1762333885.257,0.144,00:00:56.472,00:00:56.616
1,EYES_MOVING,1762333888.346,1762333889.273,0.928,00:00:59.705,00:01:00.632
1,EYES_MOVING,1762333890.200,1762333891.707,1.507,00:01:01.559,00:01:03.066
1,EYES_MOVING,1762333892.905,1762333894.231,1.326,00:01:04.264,00:01:05.590
1,EYES_MOVING,1762333895.289,1762333896.489,1.200,00:01:06.648,00:01:07.848
