track_id,reason,start_ts,end_ts,duration_sec,start_hhmmss,end_hhmmss
1,EYES_MOVING,1762608936.623,1762608937.885,1.262,00:00:12.509,00:00:13.771
1,EYES_MOVING,1762608939.153,1762608939.281,0.128,00:00:15.039,00:00:15.167
1,EYES_OFF,1762608939.407,1762608940.673,1.266,00:00:15.293,00:00:16.559
1,EYES_MOVING,1762608940.944,1762608941.201,0.257,00:00:16.830,00:00:17.088
1,HEAD_POSE_OFF,1762608945.625,1762608946.194,0.569,00:00:21.512,00:00:22.080
1,EYES_MOVING,1762608959.999,1762608960.399,0.400,00:00:35.885,00:00:36.285
1,EYES_MOVING,1762608962.720,1762608962.993,0.274,00:00:38.606,00:00:38.879
1,EYES_OFF,1762608962.993,1762608963.556,0.563,00:00:38.879,00:00:39.442
1,EYES_MOVING,1762608964.254,1762608964.386,0.133,00:00:40.140,00:00:40.273
1,EYES_MOVING,1762608971.535,1762608971.661,0.126,00:00:47.422,00:00:47.547
