track_id,reason,start_ts,end_ts,duration_sec,start_hhmmss,end_hhmmss
1,EYES_MOVING,1762608279.755,1762608279.884,0.128,00:00:08.211,00:00:08.339
1,EYES_MOVING,1762608280.683,1762608280.937,0.254,00:00:09.139,00:00:09.392
1,EYES_MOVING,1762608281.738,1762608282.810,1.072,00:00:10.193,00:00:11.265
1,EYES_OFF,1762608282.810,1762608285.067,2.258,00:00:11.265,00:00:13.523
1,EYES_MOVING,1762608285.338,1762608285.866,0.528,00:00:13.793,00:00:14.322
1,EYES_OFF,1762608286.138,1762608286.667,0.529,00:00:14.593,00:00:15.122
1,EYES_MOVING,1762608286.667,1762608287.867,1.200,00:00:15.122,00:00:16.322
1,HEAD_POSE_OFF,1762608290.795,1762608292.248,1.453,00:00:19.250,00:00:20.704
1,EYES_MOVING,1762608294.106,1762608294.780,0.673,00:00:22.562,00:00:23.235
1,EYES_OFF,1762608294.780,1762608295.178,0.398,00:00:23.235,00:00:23.633
1,EYES_MOVING,1762608298.668,1762608298.810,0.142,00:00:27.124,00:00:27.266
1,EYES_OFF,1762608298.938,1762608299.773,0.835,00:00:27.394,00:00:28.228
1,EYES_MOVING,1762608307.358,1762608307.485,0.127,00:00:35.813,00:00:35.940
1,EYES_OFF,1762608307.614,1762608308.558,0.944,00:00:36.070,00:00:37.014
1,EYES_MOVING,1762608309.341,1762608310.141,0.800,00:00:37.796,00:00:38.596
1,EYES_OFF,1762608310.141,1762608310.414,0.273,00:00:38.596,00:00:38.869
1,EYES_MOVING,1762608310.414,1762608312.012,1.598,00:00:38.869,00:00:40.467
1,EYES_OFF,1762608312.012,1762608314.396,2.385,00:00:40.467,00:00:42.852
1,MULTIPLE_FACES,1762608315.984,1762608317.058,1.074,00:00:44.440,00:00:45.513
4,MULTIPLE_FACES,1762608328.193,1762608328.724,0.531,00:00:56.649,00:00:57.179
5,MULTIPLE_FACES,1762608328.193,1762608328.724,0.531,00:00:56.649,00:00:57.179
4,MULTIPLE_FACES,1762608329.249,1762608330.451,1.202,00:00:57.704,00:00:58.906
7,EYES_MOVING,1762608359.391,1762608359.534,0.142,00:01:27.847,00:01:27.989
7,EYES_MOVING,1762608360.590,1762608360.894,0.304,00:01:29.046,00:01:29.349
7,HEAD_POSE_OFF,1762608363.725,1762608364.256,0.530,00:01:32.181,00:01:32.711
7,EYES_OFF,1762608368.448,1762608368.703,0.255,00:01:36.904,00:01:37.159
7,EYES_MOVING,1762608370.449,1762608370.574,0.126,00:01:38.904,00:01:39.030
7,EYES_OFF,1762608370.574,1762608371.104,0.529,00:01:39.030,00:01:39.559
7,EYES_MOVING,1762608371.104,1762608372.031,0.928,00:01:39.559,00:01:40.487
7,EYES_MOVING,1762608373.229,1762608373.758,0.529,00:01:41.685,00:01:42.214
7,EYES_MOVING,1762608375.087,1762608375.632,0.546,00:01:43.542,00:01:44.088
7,EYES_MOVING,1762608381.678,1762608381.953,0.274,00:01:50.134,00:01:50.408
7,EYES_OFF,1762608381.953,1762608382.480,0.527,00:01:50.408,00:01:50.935
7,EYES_MOVING,1762608386.336,1762608386.466,0.129,00:01:54.792,00:01:54.921
7,EYES_MOVING,1762608387.265,1762608387.937,0.672,00:01:55.720,00:01:56.392
7,EYES_OFF,1762608388.065,1762608388.337,0.272,00:01:56.520,00:01:56.792
7,EYES_MOVING,1762608388.865,1762608389.697,0.832,00:01:57.320,00:01:58.153
7,EYES_MOVING,1762608390.931,1762608391.056,0.125,00:01:59.386,00:01:59.511
7,MULTIPLE_FACES,1762608404.258,1762608405.453,1.195,00:02:12.714,00:02:13.909
7,HEAD_POSE_OFF,1762608411.183,1762608411.312,0.129,00:02:19.639,00:02:19.768
7,HEAD_POSE_OFF,1762608411.968,1762608413.040,1.072,00:02:20.424,00:02:21.496
7,HEAD_POSE_OFF,1762608413.168,1762608413.440,0.272,00:02:21.624,00:02:21.895
7,HEAD_POSE_OFF,1762608413.568,1762608413.842,0.275,00:02:22.023,00:02:22.298
7,HEAD_POSE_OFF,1762608415.601,1762608416.003,0.402,00:02:24.057,00:02:24.458
7,EYES_MOVING,1762608421.888,1762608422.291,0.402,00:02:30.344,00:02:30.746
