track_id,reason,start_ts,end_ts,duration_sec,start_hhmmss,end_hhmmss
1,EYES_MOVING,1762609015.771,1762609016.173,0.402,00:00:04.359,00:00:04.761
1,EYES_MOVING,1762609018.619,1762609018.894,0.275,00:00:07.207,00:00:07.483
1,EYES_OFF,1762609018.894,1762609019.356,0.462,00:00:07.483,00:00:07.945
1,EYES_MOVING,1762609020.153,1762609020.283,0.130,00:00:08.741,00:00:08.871
1,EYES_MOVING,1762609021.083,1762609021.228,0.145,00:00:09.672,00:00:09.817
1,EYES_OFF,1762609021.228,1762609021.611,0.382,00:00:09.817,00:00:10.199
1,EYES_MOVING,1762609021.611,1762609022.811,1.200,00:00:10.199,00:00:11.399
1,EYES_MOVING,1762609027.739,1762609027.871,0.132,00:00:16.328,00:00:16.460
1,EYES_OFF,1762609027.871,1762609028.269,0.398,00:00:16.460,00:00:16.857
1,EYES_MOVING,1762609028.269,1762609029.227,0.958,00:00:16.857,00:00:17.815
1,EYES_MOVING,1762609031.565,1762609031.690,0.125,00:00:20.153,00:00:20.278
1,EYES_MOVING,1762609046.461,1762609047.259,0.799,00:00:35.049,00:00:35.848
1,EYES_MOVING,1762609048.187,1762609049.823,1.637,00:00:36.775,00:00:38.412
1,EYES_MOVING,1762609051.389,1762609052.574,1.185,00:00:39.977,00:00:41.162
1,EYES_OFF,1762609052.574,1762609052.722,0.148,00:00:41.162,00:00:41.310
1,EYES_MOVING,1762609052.722,1762609053.450,0.728,00:00:41.310,00:00:42.038
