track_id,reason,start_ts,end_ts,duration_sec,start_hhmmss,end_hhmmss
1,HEAD_POSE_OFF,1762262487.513,1762262488.040,0.527,00:00:10.260,00:00:10.787
1,HEAD_POSE_OFF,1762262491.145,1762262491.272,0.127,00:00:13.893,00:00:14.020
1,HEAD_POSE_OFF,1762262500.348,1762262502.749,2.400,00:00:23.096,00:00:25.496
1,HEAD_POSE_OFF,1762262507.864,1762262512.122,4.258,00:00:30.611,00:00:34.869
1,HEAD_POSE_OFF,1762262515.978,1762262521.551,5.573,00:00:38.725,00:00:44.298
2,HEAD_POSE_OFF,1762263047.220,1762263049.405,2.185,00:00:14.206,00:00:16.391
