track_id,reason,start_ts,end_ts,duration_sec,start_hhmmss,end_hhmmss
1,HEAD_POSE_OFF,1762331574.348,1762331574.749,0.401,00:00:08.341,00:00:08.743
1,EYES_MOVING,1762331577.019,1762331577.148,0.129,00:00:11.013,00:00:11.142
1,EYES_MOVING,1762331578.748,1762331579.006,0.259,00:00:12.742,00:00:13.000
1,EYES_MOVING,1762331579.803,1762331580.203,0.400,00:00:13.797,00:00:14.197
1,EYES_MOVING,1762331584.861,1762331585.004,0.143,00:00:18.855,00:00:18.998
2,EYES_MOVING,1762332020.038,1762332021.896,1.858,00:00:07.388,00:00:09.246
2,EYES_MOVING,1762332025.654,1762332027.782,2.128,00:00:13.005,00:00:15.132
